"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP1",45.799712788226,1.46154236139173e-17,1.46154236139173e-15
"SNP7",42.644399724366,1.43581186613265e-15,1.43581186613265e-13
"SNP2",40.5243553784165,0.00144072089470629,0.144072089470629
"SNP5",40.10954041903,0.00710460406597629,0.710460406597629
"SNP8",36.9005391584923,3.83304111003614e-05,0.00383304111003614
"SNP4",35.5052561776464,1.17178900412151e-13,1.17178900412151e-11
"SNP3",8.24837109136929,0.00724799122061375,0.724799122061375
"SNP6",4.2758310213521,0.0740662615672148,1
"SNP28",3.47445979529193,0.728438734805439,1
"SNP27",3.4201963076411,0.719319605025594,1
"SNP12",3.41930724667055,0.00039415494809208,0.039415494809208
"SNP33",3.41099500523448,0.0222517402457459,1
